"Publication";"Publication date";"Publication week";"Publication language";"Priority";"Priority date";"First filing date";"International publication";"International application";"International application date";"IPC1-7 further and additional";"IPC 1-7 main";"IPC full level (additional information)";"IPC full level (invention information)";"Inventor (city)";"Inventor (country)";"Applicant / Proprietor (city)";"Applicant / Proprietor (country)";"Representative (city)";"Representative (country)";"Title (en)";"Abstract (en)"
"EP 2217955 B1 20170816";"20170816";"201733";"en";"US 991368 P 20071130";"20071130";"20071130";"WO2009073404 20090611 [2009-24]";"US2008084310 20081121 (en)";"20081121";"";"";"";"G02B 6/125 (2006.01)
G02B 6/138 (2006.01)";"San Francisco, CA 94109
GR-712 01 Heraklion Crete
Hertfordshire CN23 2TG
Midland MI 48642
Royston SG8 0QF
Cambridge CB3 8AH
Cambridge CB3 0EQ";"US
GR
GB
US
GB
GB
GB";"Midland, MI 48686-0994
Cambridge CB2 1QA";"US
GB";"Bristol BS1 6HU";"GB";"AN INTEGRATED PLANAR POLYMER WAVEGUIDE FOR LOW-LOSS, LOW-CROSSTALK OPTICAL SIGNAL ROUTING";""
"EP 2218449 A2 20100818";"20100818";"201033";"en";"EP 04078128 20041115";"20041115";"20041115";"";"";"";"";"";"";"A61K 31/00 (2006.01)";"2761 XW, Zevenhuizen
3161 LK, Rhoon
3333 VL, Zwijndrecht
3062 GA, Rotterdam
3356 EK, Papendrecht
71414, Gazi, Heraklion,  Crete
2161 PG, Blaricum
3054 NM, Rotterdam
3023 EJ, Rotterdam
Pittsburgh, PA 15232
3708 CR, Zeist
EE12612, Tallinn";"NL
NL
NL
NL
NL
GR
NL
NL
NL
US
NL
EE";"3000 DR Rotterdam";"NL";"2517 JR Den Haag";"NL";"Use of mannitol in anti ageing treatments and Selection of anti ageing compounds using  non human animal models with mutations in the DNA repair mechanisms.";"The current invention pertains to a method for screening and discovery of compounds capable of inhibiting, preventing, delaying or reducing genome maintenance disorders and consequences thereof, in particular ageing related symptoms and disorders. The current invention provides a method for screening and discovery of compounds that arc capable of inhibiting, preventing, delaying or reducing genome maintenance disorders and consequences thereof. The invention exploits animal models that comprise deficiencies in their genome maintenance systems, such as DNA repair systems, and display premature, enhanced, accelerated or segmental ageing phenotypes. These animal models can be advantageously applied to screen compounds and thereby develop schemes of intervention to treat, delay, inhibit, prevent or cure ageing related symptoms. The current invention thus provides a new and powerful tool to screen and/or discover therapeutically active compounds to treat ageing related symptoms and diseases. On the same basis it permits screening and discovery of compounds that influence ischemia, reperfusion damage in organ/tissue transplantation, chemotherapy and stem cell transplantation."
"EP 2218449 A3 20110518";"20110518";"201120";"en";"EP 04078128 20041115";"20041115";"20041115";"";"";"";"";"";"";"G01N 33/50 (2006.01)";"2761 XW, Zevenhuizen
3161 LK, Rhoon
3333 VL, Zwijndrecht
3062 GA, Rotterdam
3356 EK, Papendrecht
71414, Gazi, Heraklion,  Crete
2161 PG, Blaricum
3054 NM, Rotterdam
3023 EJ, Rotterdam
Pittsburgh, PA 15232
3708 CR, Zeist
EE12612, Tallinn";"NL
NL
NL
NL
NL
GR
NL
NL
NL
US
NL
EE";"3000 DR Rotterdam";"NL";"2517 JR Den Haag";"NL";"Use of mannitol in anti ageing treatments and Selection of anti ageing compounds using  non human animal models with mutations in the DNA repair mechanisms.";"The current invention pertains to a method for screening and discovery of compounds capable of inhibiting, preventing, delaying or reducing genome maintenance disorders and consequences thereof, in particular ageing related symptoms and disorders. The current invention provides a method for screening and discovery of compounds that arc capable of inhibiting, preventing, delaying or reducing genome maintenance disorders and consequences thereof. The invention exploits animal models that comprise deficiencies in their genome maintenance systems, such as DNA repair systems, and display premature, enhanced, accelerated or segmental ageing phenotypes. These animal models can be advantageously applied to screen compounds and thereby develop schemes of intervention to treat, delay, inhibit, prevent or cure ageing related symptoms. The current invention thus provides a new and powerful tool to screen and/or discover therapeutically active compounds to treat ageing related symptoms and diseases. On the same basis it permits screening and discovery of compounds that influence ischemia, reperfusion damage in organ/tissue transplantation, chemotherapy and stem cell transplantation."
"EP 2224466 A3 20120404";"20120404";"201214";"en";"US 438108 20030513";"20030513";"20030513";"";"";"";"";"";"";"H01L 21/00 (2006.01)
H01L 33/20 (2010.01)
H01L 25/075 (2006.01)";"Livermore, CA 94551-7555";"US";"Livermore, California 94551-7555";"US";"Ag. Paraskevi, 15342";"GR";"High power AllnGaN based multi-chip light emitting diode";"A method for forming a light emitting diode chip, the method comprising: providing a substrate; forming an upper LED layer and a lower LED layer upon the substrate, the upper LED layer and the lower LED layer cooperating to define an active region that has an elongated geometry; forming an upper contact finger upon the upper LED layer; and forming a lower contact finger upon the lower LED layer. <img file=""imgaf001.tif"" he=""98"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""146""/>"
"EP 2224467 A3 20120411";"20120411";"201215";"en";"US 438108 20030513";"20030513";"20030513";"";"";"";"";"";"";"H01L 21/00 (2006.01)
H01L 33/20 (2010.01)
H01L 25/075 (2006.01)";"Livermore, CA 94551-7555";"US";"Livermore, California 94551-7555";"US";"Ag. Paraskevi, 15342";"GR";"High power AllnGaN based multi-chip light emitting diode";"A method for forming a light emitting diode chip, the method comprising: providing a substrate; forming an upper LED layer and a lower LED layer upon the substrate, the upper LED layer and the lower LED layer cooperating to define an active region; forming an upper contact finger upon the upper LED layer; forming a lower contact finger upon the lower LED layer; and forming a reflector intermediate the active region and the lower contact finger, the reflector being configured to reflect light directed from the active region toward the lower contact finger away from the lower contact finger so as to enhance a brightness of the light emitting diode chip. <img file=""imgaf001.tif"" he=""95"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""149""/>"
"EP 2229083 A2 20100922";"20100922";"201038";"fr";"BE 200700554 20071114";"20071114";"20071114";"WO2009062269 20090522 [2009-21]";"BE2008000091 20081114 (fr)";"20081114";"";"";"";"A47J 31/40 (2006.01)
A47J 31/41 (2006.01)
A23L 2/02 (2006.01)
A23L 2/56 (2006.01)
A23L 2/72 (2006.01)
A23L 2/46 (2006.01)";"Floraliënlaan 24 2600 Berchem";"BE";"Floraliënlaan 24 2600 Berchem";"BE";"542 49 Thessaloniki";"GR";"DEVICE FOR DISPENSING A FRUIT JUICE-BASED HOT DRINK AND METHOD FOR PREPARING SAME";""
"EP 2229083 B1 20120822";"20120822";"201234";"fr";"BE 200700554 20071114";"20071114";"20071114";"WO2009062269 20090522 [2009-21]";"BE2008000091 20081114 (fr)";"20081114";"";"";"";"A47J 31/40 (2006.01)
A47J 31/41 (2006.01)
A23L 2/02 (2006.01)
A23L 2/56 (2006.01)
A23L 2/72 (2006.01)
A23L 2/46 (2006.01)";"2600 Berchem";"BE";"2600 Berchem";"BE";"542 49 Thessaloniki";"GR";"DEVICE FOR DISPENSING A FRUIT JUICE-BASED HOT DRINK AND METHOD FOR PREPARING SAME";""
"EP 2231373 A2 20100929";"20100929";"201039";"en";"BE 200700545 20071109";"20071109";"20071109";"WO2009079724 20090702 [2009-27]";"BE2008000092 20081107 (en)";"20081107";"";"";"";"B29B 11/14 (2006.01)
B29B 11/08 (2006.01)
B29C 49/06 (2006.01)
B29C 49/22 (2006.01)
B29C 49/64 (2006.01)";"B-9070 Destelbergen";"BE";"9230 Wetteren";"BE";"54249 Thessaloniki";"GR";"PREFORM AND CONTAINER FOR CONTAMINABLE PRODUCTS AND METHOD FOR THE MANUFACTURING THEREOF";""
"EP 2231373 B1 20150708";"20150708";"201528";"en";"BE 200700545 20071109";"20071109";"20071109";"WO2009079724 20090702 [2009-27]";"BE2008000092 20081107 (en)";"20081107";"";"";"";"B29B 11/14 (2006.01)
B29B 11/08 (2006.01)
B29C 49/06 (2006.01)
B29C 49/22 (2006.01)
B29C 49/64 (2006.01)";"B-9070 Destelbergen";"BE";"9230 Wetteren";"BE";"54249 Thessaloniki";"GR";"PREFORM AND CONTAINER FOR CONTAMINABLE PRODUCTS AND METHOD FOR THE MANUFACTURING THEREOF";""
"EP 2232791 A1 20100929";"20100929";"201039";"en";"US 17275 P 20071228";"20071228";"20071228";"WO2009085276 20090709 [2009-28]";"US2008014027 20081222 (en)";"20081222";"";"";"";"H04L 12/56 (2006.01)";"San Jose California 95136
Los Altos California 94024
Palo Alto California 94306
Patras";"US
US
US
GR";"Mountain View, CA 94043";"US";"London WC2A 1JQ";"GB";"TCP PACKET SPACING";""
"EP 2232791 B1 20130710";"20130710";"201328";"en";"US 17275 P 20071228";"20071228";"20071228";"WO2009085276 20090709 [2009-28]";"US2008014027 20081222 (en)";"20081222";"";"";"";"H04L 12/00 (2006.01)";"San Jose California 95136
Los Altos California 94024
Palo Alto California 94306
Patras";"US
US
US
GR";"Mountain View, CA 94043";"US";"London EC4A 1BR";"GB";"TCP PACKET SPACING";""
"EP 2233130 A1 20100929";"20100929";"201039";"en";"IN MU06702009 20090323";"20090323";"20090323";"";"";"";"";"";"";"A61K 9/20 (2006.01)
A61K 31/554 (2006.01)";"New Delhi 110024
18121 Athens";"IN
GR";"1066 Nicosia";"CY";"80336 München";"DE";"A sustained release oral composition of an antipsychotic agent";"A sustained release oral composition of an antipsychotic agent comprising antipsychotic agent, λ-carrageenan and one or more pharmaceutically acceptable excipients; wherein the antipsychotic agent is 2-{2-[4-(dibenzo[b,f][1,4]thiazepin-11-yl)piperazino]-ethoxy}ethanol or its pharmaceutically acceptable salt, and a process for the preparation thereof."
"EP 2234393 A1 20100929";"20100929";"201039";"en";"US 164253 P 20090327
US 463993 20090511";"20090327
20090511";"20090327";"";"";"";"";"";"";"H04N 7/10 (2006.01)
H04N 7/173 (2006.01)
H04L 12/28 (2006.01)";"Edinburgh, EH14 5BR
Glasgow, G77 6HX
Glasgow, G11 7ST
15343, Athens";"GB
GB
GB
GR";"South Jordan, UT 84095";"US";"Leeds LS2 8PA";"GB";"Coax and ip hybrid digital tv and vod system";"Methods and apparatus are described for providing digital information and/or data services over hybrid network infrastructures including both IP and coax transmission media. A network comprises a first transmission infrastructure comprising coaxial cable over which data are transmitted using a radio frequency (RF) modulation scheme. Data are transmitted using the Internet Protocol (IP) over a second transmission infrastructure. One or more data servers are configured to provide data services including both digital television services and video-on-demand services. One or more coax servers are configured to receive via the second transmission infrastructure first data transmissions originating from the one or more data servers and intended for first client devices connected to the first transmission infrastructure. The coax servers are further configured to convert the first data transmissions for transmission to the first client devices over the first transmission infrastructure using the RF modulation scheme. The data servers provide the data services to the first client devices via the coax servers and the first transmission infrastructure, and to second client devices connected via the second transmission infrastructure. <img file=""imgaf001.tif"" he=""66"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""84""/>"
"EP 2235054 A1 20101006";"20101006";"201040";"en";"EP 07123115 20071213
US 8329 20071217";"20071213
20071217";"20071213";"WO2009074637 20090618 [2009-25]";"EP2008067298 20081211 (en)";"20081211";"";"";"";"C07K 14/47 (2006.01)";"F-74520 Dingy En Vuache
GR-17343 Athens";"FR
GR";"1267 Coinsins";"CH";"1202 Geneva";"CH";"SARP-1 FUSION PROTEINS AND USES THEREOF";""
"EP 2241634 A1 20101020";"20101020";"201042";"en";"";"";"20090416";"";"";"";"";"";"";"C12Q 1/68 (2006.01)";"1080 Bruxelles
54644 Thessaloniki";"BE
GR";"1050 Brussels";"BE";"1082 Bruxelles";"BE";"Diagnostic method and tools to predict the effiacy of targeted agents against IGF-1 pathway activation in cancer";"The present invention relates to a gene set, kit and method to predict the efficacy of IGF-1 pathway inhibitors in cancer. <img file=""imgaf001.tif"" he=""128"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""126""/>"
"EP 2241884 A2 20101020";"20101020";"201042";"en";"EP 04078128 20041115";"20041115";"20041115";"";"";"";"";"";"";"G01N 33/50 (2006.01)";"2761 XW Zevenhuizen
3161 LK Rhoon
3333 VL Zwijndrecht
3062 GA Rotterdam
3356 EK Papendrecht
71414 Gazi, Heraklion  Crete
2161 PG Blaricum
3054 NM Rotterdam
3023 EJ Rotterdam
Pittsburgh, PA 15232
3708 CR  Zeist
EE12612 Tallinn";"NL
NL
NL
NL
NL
GR
NL
NL
NL
US
NL
EE";"3000 DR Rotterdam";"NL";"2517 JR Den Haag";"NL";"Selection of anti ageing compounds using  mouse cell models with mutations in the DNA repair mechanisms.";"The current invention pertains to a method for screening and discovery of compounds capable of inhibiting, preventing, delaying or reducing genome maintenance disorders and consequences thereof, in particular ageing related symptoms and disorders. The current invention provides a method for screening and discovery of compounds that arc capable of inhibiting, preventing, delaying or reducing genome maintenance disorders and consequences thereof. The invention exploits animal models that comprise deficiencies in their genome maintenance systems, such as DNA repair systems, and display premature, enhanced, accelerated or segmental ageing phenotypes. These animal models can be advantageously applied to screen compounds and thereby develop schemes of intervention to treat, delay, inhibit, prevent or cure ageing related symptoms. The current invention thus provides a new and powerful tool to screen and/or discover therapeutically active compounds to treat ageing related symptoms and diseases. On the same basis it permits screening and discovery of compounds that influence ischemia, reperfusion damage in organ/tissue transplantation, chemotherapy and stem cell transplantation."
"EP 2241884 A3 20110223";"20110223";"201108";"en";"EP 04078128 20041115";"20041115";"20041115";"";"";"";"";"";"";"G01N 33/50 (2006.01)";"2761 XW Zevenhuizen
3161 LK Rhoon
3333 VL Zwijndrecht
3062 GA Rotterdam
3356 EK Papendrecht
71414 Gazi, Heraklion  Crete
2161 PG Blaricum
3054 NM Rotterdam
3023 EJ Rotterdam
Pittsburgh, PA 15232
3708 CR  Zeist
EE12612 Tallinn";"NL
NL
NL
NL
NL
GR
NL
NL
NL
US
NL
EE";"3000 DR Rotterdam";"NL";"2517 JR Den Haag";"NL";"Selection of anti ageing compounds using  mouse cell models with mutations in the DNA repair mechanisms.";"The current invention pertains to a method for screening and discovery of compounds capable of inhibiting, preventing, delaying or reducing genome maintenance disorders and consequences thereof, in particular ageing related symptoms and disorders. The current invention provides a method for screening and discovery of compounds that arc capable of inhibiting, preventing, delaying or reducing genome maintenance disorders and consequences thereof. The invention exploits animal models that comprise deficiencies in their genome maintenance systems, such as DNA repair systems, and display premature, enhanced, accelerated or segmental ageing phenotypes. These animal models can be advantageously applied to screen compounds and thereby develop schemes of intervention to treat, delay, inhibit, prevent or cure ageing related symptoms. The current invention thus provides a new and powerful tool to screen and/or discover therapeutically active compounds to treat ageing related symptoms and diseases. On the same basis it permits screening and discovery of compounds that influence ischemia, reperfusion damage in organ/tissue transplantation, chemotherapy and stem cell transplantation."
"EP 2248993 B1 20120418";"20120418";"201216";"en";"";"";"20090507";"";"";"";"";"";"";"E21B 47/01 (2012.01)
E21B 47/00 (2012.01)";"92142, Clamart Cedex
92240, Malakoff";"FR
FR";"75007 Paris
Tortola
2514 JG The Hague
Tortola";"FR
GR
NL
VG";"92142 Clamart Cedex";"FR";"An electronic apparatus of a downhole tool";""
